word,category
Challenge,easy
Chameleon,easy
Champagne,easy
Champion,easy
Chandelier,hard
Chaos,hard
Chapel,hard
Charge,easy
Chariot,easy
Charm,easy
Chase,hard
Chasm,hard
Checkers,hard
Cheese,easy
Cheetah,hard
Chef,easy
Cherry,hard
Chess,easy
Chest,easy
Chick,easy
Child,easy
Chime,hard
Chimney,easy
China,easy
Chip,hard
Chisel,hard
Chocolate,easy
Chronicle,hard
Church,easy
Cider,hard
Cigarette,easy
Cinema,easy
Cipher,hard
Circle,easy
Circuit,hard
Circus,easy
Citadel,hard
Classical,hard
Claw,easy
Clean,easy
Cleft,hard
Cliff,hard
Climbing,easy
Clock,hard
Clone,hard
Closet,easy
Clothing,easy
Cloud,easy
Clover,hard
Clown,easy
Club,easy
Clumsy,hard
Coach,hard
Coal,hard
Cobalt,hard
Cobra,hard
Cockroach,easy
Cocktail,easy
Coconut,hard
Code,hard
Coffee,easy
Coin,hard
Cold,easy
Color,hard
Colosseum,hard
Colour,easy
Column,easy
Comedy,easy
Comet,hard
Comforter,easy
Commerce,easy
Common,easy
Compass,hard
Competition,hard
Computer,easy
Concert,easy
Conductor,hard
Conduit,hard
Console,easy
Contour,hard
Cookie,easy
Coral,hard
Cork,easy
Corn,hard
Coronation,hard
Corridor,hard
Cosmos,hard
Cotton,easy
Couch,easy
Cougar,easy
Country,easy
Court,easy
Courtyard,hard
Cove,hard
Covered,easy
Cow,easy
Cowboy,hard
Cozy,hard
Crab,easy
Craft,easy
Crane,easy
Crater,hard
Crayon,hard
Cream,easy
Create,hard
Creek,easy
Crepe,hard
Crescent,easy
Crest,hard
Cricket,hard
Crimson,hard
Crisp,hard
Crispy,hard
Crocodile,hard
Cross,easy
Crossbow,hard
Crow,hard
Crown,easy
Crucible,hard
Crypt,hard
Crystal,hard
Cube,easy
Cuddle,easy
Culture,hard
Cunning,hard
Cup,easy
Curious,hard
Currency,easy
Curry,easy
Cursed,hard
Curtain,easy
Cushion,easy
Cyborg,hard
Cycling,hard
Cyclone,hard
Cyclops,hard
Daffodil,hard
Daisy,hard
Dam,hard
Damp,hard
Dance,easy
Dandelion,hard
Danger,easy
Dark,hard
Darts,hard
Day,easy
Dazzling,hard
Dead,easy
Debris,hard
Decay,hard
Decree,hard
Deep,easy
Deer,hard
Defence,easy
Defiant,hard
Degree,easy
Delivery,easy
Delta,hard
Deluge,hard
Demon,easy
Dense,hard
Dentist,hard
Descent,hard
Desert,easy
Designer,hard
Desolate,hard
Dessert,easy
Detective,easy
Detergent,easy
Device,easy
Devil,easy
Devour,hard
Diamond,easy
Dice,hard
Dictator,easy
Diet,easy
Dimension,hard
Dinosaur,easy
Dirty,easy
Disco,hard
Discord,hard
Discovery,hard
Dish,easy
Display,easy
Dissent,hard
Distributor,easy
District,easy
Dive,hard
Doctor,easy
Doe,easy
Dog,easy
Dojo,hard
Doll,easy
Dolphin,hard
Dome,hard
Domino,hard
Dominoes,hard
Donkey,easy
Donut,hard
Door,easy
Double,easy
Dough,easy
Down,easy
Dragon,easy
Dragonfly,hard
Dragonfruit,hard
Drawing,easy
Dread,hard
Dream,easy
Dress,easy
Dresser,easy
Drift,hard
Drill,hard
Drink,easy
Druid,hard
Drum,easy
Drums,hard
Duck,easy
Dull,hard
Dumpling,hard
Dune,hard
Dungeon,easy
Dusk,hard
Dust,hard
Dwarf,easy
Dynamite,easy
Dynasty,hard
Décor,easy
Eagle,hard
Ear,easy
Earth,easy
Easel,hard
Ebony,hard
Echo,hard
Eclipse,hard
Edge,easy
Eel,hard
Effigy,hard
Egg,easy
Elastic,easy
Elbow,hard
Electric,hard
Electrician,hard
Electricity,easy
Elephant,hard
Elf,hard
Embers,hard
Emblem,hard
Emerald,hard
Emergency,easy
Eminent,hard
End,easy
Engine,easy
Engineer,hard
Enigma,hard
Entry,easy
Envelop,easy
Enzyme,hard
Epoch,hard
Errant,hard
Escape,hard
Essence,easy
Ether,hard
Europe,easy
Evening,easy
Excited,hard
Exhibition,easy
Exiled,hard
Exit,easy
Exodus,hard
Expedition,hard
Explore,easy
Explorer,hard
Explosion,easy
Eye,easy
Fable,easy
Face,easy
Facet,hard
Fair,easy
Fairy,easy
Family,easy
Famine,hard
Farm,easy
Farmer,hard
Fashion,easy
Fast,easy
Fate,hard
Father,easy
Fathom,hard
Fault,easy
Fear,hard
Feast,hard
Feather,easy
Feed,easy
Feline,easy
Fence,hard
Fencing,hard
Fern,hard
Ferret,hard
Fervent,hard
Festival,hard
Fever,easy
Field,easy
Fierce,hard
Fig,hard
Figment,hard
Filament,hard
File,easy
Finger,easy
Fire,easy
Firefighter,easy
Firefly,hard
Fireplace,hard
First,easy
Fish,easy
Fisherman,hard
Fishing,easy
Fist,hard
Fjord,hard
Flag,hard
Flame,easy
Flamingo,hard
Flare,hard
Flash,easy
Flask,easy
Flea,easy
Flight,easy
Flint,hard
Flood,hard
Flour,easy
Flower,easy
Fluffy,hard
Flurry,hard
Flute,easy
Fly,easy
Foam,easy
Fog,hard
Foliage,hard
Folk,hard
Fondue,hard
Food,easy
Fool,easy
Foot,easy
Football,hard
Forbidden,easy
Force,hard
Forecast,easy
Forest,easy
Forge,hard
Fork,hard
Fortress,hard
Fossil,hard
Fountain,easy
Fox,easy
Fractal,hard
Fragment,hard
Frame,easy
France,easy
Friend,easy
Frog,hard
Frost,easy
Frosty,hard
Frozen,hard
Fruit,easy
Fry,easy
Fuel,easy
Fugitive,hard
Full,easy
Fur,easy
Furnace,hard
Furniture,easy
Galaxy,hard
Gamble,easy
Game,easy
Garage,easy
Garbage,easy
Garden,easy
Garlic,hard
Garrison,hard
Gas,easy
Gate,easy
Gauntlet,hard
Gear,hard
Gecko,hard
Gelato,hard
Gene,hard
General,hard
Genius,easy
Gentle,hard
Geyser,hard
Ghost,easy
Giant,easy
Gift,easy
Gigantic,hard
Ginger,hard
Giraffe,hard
Glacier,hard
Glade,hard
Gladiator,hard
Glass,easy
Glasses,easy
Glide,hard
Glitch,hard
Globe,hard
Gloomy,hard
Glove,easy
Glowing,hard
Gnome,hard
Goblet,hard
Goblin,hard
God,easy
Gold,easy
Golf,hard
Gorge,hard
Gorilla,hard
Gossamer,hard
Graceful,hard
Grain,easy
Granite,hard
Grape,easy
Grass,easy
Grasshopper,hard
Grate,easy
Grave,easy
Gravity,hard
Gray,hard
Grease,easy
Green,easy
Greenhouse,hard
Grenade,easy
Grey,easy
Griffin,hard
Grimy,hard
Grotto,hard
Ground,easy
Group,easy
Grove,hard
Growl,hard
Guardian,easy
Guava,hard
Guerrilla,hard
Guide,easy
Guitar,easy
Gulf,hard
Hair,easy
Hall,easy
Hallowed,hard
Hammer,easy
Hamster,hard
Handicap,easy
Handle,easy
Happy,hard
Harbor,hard
Hard,easy
Hardware,easy
Harmony,hard
Harp,hard
Harvest,hard
Hat,easy
Haunt,hard
Haunted,hard
Havoc,hard
Hawk,hard
Head,easy
Healer,hard
Hearing,easy
Heart,easy
Hearth,easy
Heath,hard
Heather,hard
Heavy,easy
Hedgehog,hard
Heel,easy
Hell,easy
Helmet,easy
Hen,easy
Herb,hard
Herbs,easy
Heretic,hard
Heritage,easy
Hero,easy
Heroine,easy
Hibiscus,hard
Hidden,hard
Hide,easy
High,easy
Hip,hard
Hippo,hard
History,easy
Hobbies,easy
Hole,easy
Hollow,hard
Hologram,hard
Honey,easy
Hood,easy
Hook,easy
Hope,hard
Horizon,hard
Horse,easy
Hospital,easy
Hot,easy
Hotel,easy
Hourglass,hard
House,easy
Howl,hard
Huge,hard
Human,easy
Hummingbird,hard
Humour,easy
Hunt,easy
Hunter,hard
Hut,hard
Hydra,hard
Hyena,hard
Ice,easy
Ignite,hard
Iguana,hard
Illness,easy
Illusion,hard
Immense,hard
Impasse,hard
Impulse,hard
Indigo,hard
Inferno,hard
Ingot,hard
Ink,easy
Inn,hard
Inquest,hard
Inside,easy
Insignia,hard
Inspection,easy
Instrument,easy
Insurgent,hard
Internet,easy
Intersection,easy
Inventor,hard
Invisible,hard
Ireland,easy
Iron,easy
Island,easy
Ivory,hard
Ivy,hard
Jaguar,hard
Jam,hard
Jar,easy
Jasmine,hard
Jaw,hard
Jazz,hard
Jelly,easy
Jellyfish,hard
Jester,hard
Jewel,easy
Joke,easy
Journalist,hard
Journey,hard
Judge,easy
Judo,hard
Jump,easy
Jungle,easy
Juniper,hard
Kangaroo,hard
Karate,hard
Key,easy
Kidney,hard
Kinetic,hard
King,easy
Kiss,easy
Kitchen,easy
Kite,hard
Kiwi,hard
Knee,hard
Knife,easy
Knight,easy
Knoll,hard
Knot,easy
Koala,hard
Kraken,hard
Labyrinth,easy
Lacrosse,hard
Ladder,easy
Ladle,easy
Lady,easy
Ladybug,easy
Lagoon,hard
Lake,easy
Lament,hard
Lamp,easy
Lance,hard
Landscape,easy
Language,hard
Lantern,hard
Large,easy
Laser,easy
Latte,hard
Laugh,easy
Lava,easy
Lavender,hard
Lawyer,hard
Layer,easy
Lazy,easy
Leaf,easy
Leak,easy
Legend,hard
Lemon,easy
Lemonade,hard
Lemur,hard
Lens,hard
Leopard,hard
Letter,easy
Lettuce,hard
Lever,hard
Library,easy
Life,easy
Light,easy
Lighter,easy
Lighthouse,easy
Lightning,easy
Lily,hard
Limb,easy
Lime,hard
Limit,easy
Line,easy
Lion,easy
Liquid,easy
Liver,hard
Llama,hard
Lobster,hard
Lock,easy
Locket,hard
Log,easy
Logic,hard
Loop,easy
Lore,hard
Lost,hard
Loud,hard
Love,easy
Luck,easy
Lumen,hard
Lunar,hard
Lung,hard
Lush,hard
Luxury,easy
Lychee,hard
Lynx,hard
Lyric,hard
Mace,hard
Machine,easy
Magic,easy
Magical,hard
Magician,easy
Magnet,easy
Magnetic,hard
Magniscope,easy
Magnolia,hard
Magpie,hard
Mail,easy
Majestic,hard
Major,easy
Mall,hard
Manager,hard
Mango,hard
Manor,hard
Manta,hard
Mantis,hard
Map,easy
Maple,hard
Marathon,hard
Marble,hard
March,easy
Marine,easy
Mark,easy
Marker,easy
Market,easy
Marriage,easy
Marrow,hard
Marsh,hard
Mask,easy
Mason,hard
Mass,easy
Master,easy
Match,easy
Matrix,hard
Matter,easy
Mattress,hard
Meadow,hard
Mechanic,hard
Medal,easy
Medusa,easy
Melon,easy
Memory,easy
Menace,hard
Mend,hard
Menu,easy
Merchant,hard
Mermaid,hard
Mesa,hard
Metal,easy
Metallic,hard
Meteor,hard
Microphone,hard
Microscope,hard
Middle,easy
Mighty,hard
Military,easy
Milk,easy
Mind,easy
Mine,hard
Minor,easy
Minotaur,hard
Mint,easy
Mirage,easy
Mirror,easy
Missile,easy
Mission,hard
Misty,hard
Mobile,easy
Mochi,hard
Modern,hard
Moist,easy
Mole,hard
Mongoose,hard
Monk,hard
Monkey,hard
Monster,easy
Month,easy
Monument,hard
Moon,easy
Moor,hard
Moose,hard
Morning,easy
Mosquito,easy
Moss,hard
Mossy,hard
Moth,hard
Mother,easy
Motor,easy
Mountain,easy
Mouse,easy
Moustache,easy
Mouth,easy
Movie,easy
Mud,easy
Muddy,hard
Muffin,hard
Mug,easy
Mummy,easy
Murky,hard
Murmur,hard
Muscle,hard
Museum,easy
Mushroom,easy
Music,easy
Musician,hard
Mustard,easy
Mystery,hard
Myth,easy
Nail,easy
Nano,hard
Napkin,easy
Narwhal,hard
Nebula,hard
Neck,hard
Necklace,easy
Needle,easy
Nerve,easy
Nervous,hard
Nest,easy
Net,hard
New,easy
Newspaper,easy
Night,easy
Nightmare,easy
Ninja,hard
Noble,hard
Nomad,hard
Noodle,easy
North,easy
Nose,hard
Note,easy
Nougat,hard
Nuclear,hard
Nude,easy
Nurse,easy
Nut,easy
Nymph,hard
Oak,easy
Oar,easy
Oasis,easy
Oat,hard
Oath,hard
Ocean,easy
Octopus,easy
Office,easy
Oil,easy
Old,easy
Onion,hard
Opaque,hard
Opera,hard
Oracle,hard
Orange,easy
Orbit,hard
Orc,hard
Orchard,easy
Orchid,hard
Order,easy
Ostrich,hard
Otter,hard
Outlet,easy
Oven,easy
Overgrown,hard
Owl,easy
Pad,easy
Padlock,easy
Paintbrush,easy
Painting,easy
Pair,easy
Palace,easy
Paladin,hard
Palm,hard
Pan,easy
Panda,hard
Papaya,hard
Paper,easy
Parade,hard
Paradise,easy
Paradox,hard
Park,easy
Parrot,hard
Party,easy
Passion,easy
Passionfruit,hard
Past,easy
Pasta,hard
Patio,easy
Patron,easy
Pattern,hard
Pea,hard
Peace,easy
Peach,hard
Peacock,hard
Peak,hard
Peanut,hard
Pear,easy
Pearl,easy
Pegasus,hard
Pelican,hard
Pen,hard
Pencil,hard
Penguin,hard
Peninsula,hard
Pepper,easy
Performance,easy
Perfume,easy
Permanent,easy
Petal,hard
Pharmacist,hard
Philosopher,hard
Phoenix,hard
Phone,easy
Photo,easy
Photographer,hard
Physical,easy
Piano,easy
Picture,easy
Pie,easy
Pig,easy
Pigeon,easy
Pillow,hard
Pilot,easy
Pin,hard
Pine,easy
Pineapple,hard
Pink,hard
Pipe,easy
Piranha,hard
Pirate,easy
Piston,hard
Pit,easy
Pizza,easy
Place,easy
Plane,easy
Plank,easy
Plant,easy
Plasma,hard
Plastic,easy
Plate,hard
Plateau,hard
Platypus,hard
Plaza,hard
Pliers,easy
Plum,hard
Plumber,hard
Plush,easy
Pocket,easy
Poetry,easy
Poison,easy
Poker,hard
Polar,easy
Police,easy
Polished,hard
Pollen,hard
Polo,hard
Pomegranate,hard
Pond,easy
Pop,hard
Popcorn,hard
Poppy,hard
Porcelain,easy
Porcupine,hard
Port,easy
Portal,hard
Post,easy
Potato,easy
Potter,hard
Powder,easy
Prairie,hard
Press,easy
Pretzel,hard
Prickly,hard
Princess,easy
Prism,hard
Prison,easy
Probe,hard
Programmer,hard
Projector,hard
Promotion,easy
Prophet,hard
Protect,easy
Protein,hard
Proud,hard
Pudding,hard
Pulse,hard
Pump,easy
Pumpkin,easy
Punch,easy
Punk,hard
Pure,hard
Purple,hard
Puzzle,easy
Pyramid,easy
Quantum,hard
Queen,easy
Quest,hard
Quill,hard
Quilt,easy
Quiver,hard
Rabbit,easy
Raccoon,hard
Race,easy
Radar,easy
Radiant,hard
Radio,easy
Raft,easy
Rail,easy
Rain,easy
Rainbow,hard
Rake,easy
Ramen,hard
Ramp,easy
Ranger,hard
Rap,hard
Raspberry,hard
Rat,easy
Raven,hard
Ravine,hard
Ray,easy
Rebel,hard
Rebellion,hard
Recent,easy
Recipe,easy
Recipient,easy
Record,easy
Red,easy
Reef,hard
Referee,hard
Reggae,hard
Region,easy
Religion,easy
Repair,easy
Report,easy
Reptile,easy
Rescue,hard
Restaurant,easy
Revenge,easy
Revolution,easy
Revolver,easy
Rhino,hard
Rhythm,hard
Rib,hard
Ribbon,hard
Rice,easy
Rich,easy
Ridge,hard
Rifle,easy
Right,easy
Ring,easy
Ripple,hard
Ritual,hard
River,easy
Road,easy
Roast,easy
Robin,hard
Robot,easy
Rock,hard
Rocket,hard
Rocky,hard
Rogue,hard
Roll,easy
Roof,easy
Room,easy
Rooster,easy
Root,easy
Rope,easy
Rose,easy
Rosemary,hard
Rough,hard
Round,easy
Royal,hard
Ruby,hard
Rugby,hard
Ruin,easy
Ruler,easy
Rune,hard
Rusty,hard
Sabre,easy
Sacred,hard
Sad,hard
Safari,easy
Sage,easy
Sail,easy
Sailor,hard
Salad,easy
Salamander,hard
Sale,hard
Salmon,hard
Salt,easy
Samurai,hard
Sanctum,hard
Sand,easy
Sandwich,hard
Sandy,hard
Sapphire,hard
Satellite,hard
Sauce,hard
Sausage,easy
Savanna,hard
Saw,hard
Saxophone,hard
Scale,hard
Scared,hard
Scarlet,hard
Scepter,hard
Schedule,easy
Scholar,hard
School,easy
Science,easy
Scientist,hard
Scissors,easy
Scorpion,hard
Screen,easy
Screw,easy
Scroll,hard
Sculptor,hard
Scythe,hard
Sea,easy
Seahorse,hard
Seal,hard
Search,hard
Season,easy
Secret,easy
Seed,hard
Sense,easy
Serendipity,hard
Serene,hard
Series,easy
Sewer,easy
Shadow,easy
Shallow,hard
Shape,easy
Shark,easy
Sharp,easy
Shatter,hard
Shed,easy
Sheep,easy
Shelf,easy
Shell,easy
Shelter,easy
Shepherd,hard
Shield,easy
Shiny,hard
Ship,easy
Shirt,easy
Shop,easy
Shore,hard
Short,easy
Shoulder,hard
Shovel,easy
Show,easy
Shower,easy
Shrimp,hard
Shy,hard
Siege,hard
Sight,easy
Signal,hard
Silence,easy
Silent,hard
Silky,hard
Silo,hard
Silver,easy
Singer,hard
Siren,easy
Sister,easy
Size,easy
Skate,easy
Skeleton,easy
Skiing,hard
Skin,easy
Skull,easy
Skunk,hard
Sky,easy
Skyscraper,hard
Sleeve,easy
Slide,easy
Sloth,hard
Slow,easy
Small,easy
Smell,easy
Smoke,easy
Smooth,hard
Snack,easy
Snail,easy
Snake,easy
Sneaky,hard
Snow,easy
Soap,easy
Soar,hard
Soccer,hard
Sock,easy
Soft,easy
Solar,hard
Soldier,easy
Solitary,easy
Song,easy
Sorbet,hard
Sorcerer,hard
Soul,hard
Sound,easy
Soup,easy
Space,easy
Spark,hard
Sparkling,hard
Sparrow,hard
Speaker,easy
Spear,easy
Species,easy
Speed,hard
Sphinx,hard
Spice,easy
Spicy,easy
Spider,easy
Spinach,hard
Spine,hard
Spire,hard
Spirit,hard
Sponge,easy
Spooky,hard
Spoon,hard
Sport,easy
Spring,easy
Sprite,hard
Spy,easy
Square,easy
Squash,hard
Squid,hard
Stable,hard
Stage,easy
Stamp,easy
Star,easy
Station,easy
Statue,easy
Steak,hard
Stick,easy
Sticky,easy
Stitches,easy
Stocks,easy
Stone,easy
Storm,easy
Story,easy
Strait,hard
Straw,easy
Strawberry,hard
Strength,easy
String,easy
Stroke,easy
Strong,easy
Stud,easy
Studio,easy
Stunt,easy
Stylist,easy
Subway,easy
Sugar,easy
Suit,easy
Suitcase,easy
Suite,easy
Summer,easy
Summit,easy
Sun,easy
Sunday,easy
Sunflower,hard
Sunny,hard
Sunrise,hard
Sunset,hard
Surfing,hard
Surge,hard
Surgeon,easy
Sushi,hard
Suspect,easy
Swamp,hard
Swan,hard
Sweet,easy
Swimming,hard
Swing,easy
Switzerland,easy
Sword,easy
Syrup,easy
Table,easy
Taekwondo,hard
Tail,easy
Tailor,hard
Talent,easy
Tame,easy
Tank,easy
Tapir,hard
Target,easy
Taste,easy
Tattered,hard
Tattoo,easy
Tea,easy
Teacher,hard
Teal,hard
Techno,hard
Technology,easy
Telescope,hard
Television,easy
Temple,easy
Tennis,easy
Tent,easy
Theater,hard
Theatre,easy
Thermometer,easy
Thicket,hard
Thief,easy
Thin,easy
Thistle,hard
Thorny,hard
Thread,easy
Throat,easy
Thumb,hard
Thunder,easy
Thyme,hard
Ticket,easy
Tide,hard
Tiger,easy
Tile,easy
Time,hard
Tinkerer,hard
Tiny,easy
Titan,hard
Toad,hard
Tobacco,easy
Toe,hard
Toffee,hard
Toilet,easy
Token,hard
Tomato,easy
Tomb,hard
Tongue,easy
Tool,easy
Top,easy
Topaz,hard
Torch,hard
Tornado,easy
Torrent,hard
Toucan,hard
Tournament,hard
Towel,easy
Tower,hard
Town,easy
Toy,easy
Track,easy
Trade,easy
Tradition,easy
Trail,hard
Trailer,easy
Train,easy
Transparent,hard
Transport,easy
Trash,easy
Travel,easy
Treasure,easy
Tree,easy
Treehouse,hard
Tremor,hard
Trench,hard
Trial,hard
Triangle,easy
Trident,hard
Trim,easy
Troll,hard
Trophy,easy
Truck,easy
Trumpet,hard
Truth,hard
Tube,easy
Tulip,hard
Tundra,hard
Tunnel,easy
Turbine,hard
Turn,easy
Turnip,easy
Turquoise,hard
Turtle,easy
Twig,hard
Twins,easy
Twisted,hard
Typewriter,hard
Umbrella,easy
Underground,easy
Unicorn,hard
Uniform,easy
Union,easy
Universe,easy
Utensil,easy
Vacation,easy
Valley,hard
Valve,hard
Vampire,easy
Vault,hard
Vegetable,easy
Vein,hard
Velvety,hard
Vial,hard
Victory,easy
Viking,hard
Village,hard
Vine,hard
Vinegar,hard
Violet,hard
Violin,easy
Viper,hard
Virgin,easy
Virus,easy
Vision,easy
Vivid,hard
Voice,easy
Volcano,easy
Volleyball,hard
Volume,easy
Voyage,hard
Vulture,hard
Waffle,hard
Waist,hard
Waiter,easy
Walk,easy
Wall,hard
Walnut,hard
Walrus,hard
Wand,easy
Wander,hard
War,easy
Warm,hard
Warrior,hard
Watch,easy
Watchtower,hard
Water,easy
Waterfall,hard
Watermelon,hard
Wave,easy
Weak,easy
Weapon,easy
Weasel,hard
Weather,easy
Weaver,hard
Weight,easy
Well,easy
Whale,easy
Wheat,easy
Wheel,easy
Whip,easy
Whirlwind,easy
Whisper,hard
White,easy
Wicked,hard
Wild,easy
Willow,hard
Wind,easy
Windmill,hard
Window,easy
Wine,easy
Wing,easy
Winter,easy
Wish,easy
Witch,hard
Witness,easy
Wizard,easy
Wolf,easy
Wood,easy
Wool,easy
Work,easy
Worm,hard
Wormhole,hard
Wraith,hard
Wrench,hard
Wrestling,hard
Writer,hard
Yellow,easy
Yogurt,hard
Young,easy
Zebra,hard
Zipper,hard
ZooPebble,easy
