Raw - Cooked
Raw - Refined
Reactive - Deliberate
Reactive - Proactive
Real - Fake
Real - Imaginary
Real - Virtual
Realistic - Idealistic
Realistic - Surreal
Relaxed - Hyper
Relaxed - Tense
Rich - Poor
Romantic - Practical
Round - Angular
Round - Pointy
Routine - Spontaneous
Rural - Cosmopolitan
Safe - Dangerous
Safe - Risky
Sane - Insane
Satisfying - Unsatisfying
Science - Superstition
Secular - Religious
Secure - Exposed
Secure - Vulnerable
Selfish - Selfless
Sensitive - Numb
Serious - Frivolous
Serious - Playful
Serious - Silly
Sharp - Blunt
Sharp - Dull
Sharp - Soft
Shiny - Matte
Simple - Complex
Sincere - Sarcastic
Smart - Stupid
Smooth - Bumpy
Smooth - Rough
Sober - Drunk
Solo - Team
Spicy - Bland
Stable - Shaky
Stable - Volatile
Static - Evolving
Steady - Wobbly
Straight - Twisted
Strict - Lenient
Strong - Weak
Structured - Unstructured
Supportive - Critical
Sweet - Bitter
Sweet - Salty
Sweet - Sour
Tactful - Blunt
Tall - Short
Tame - Wild
Tangible - Intangible
Temporary - Eternal
Thick - Thin
Traditional - Progressive
Tragic - Joyful
Transparent - Concealed
Transparent - Opaque
Transparent - Secretive
Trendy - Outdated
Trendy - Timeless
Trusting - Suspicious
Ugly man - Beautify man
Ugly woman - Beautify woman
Underrated - Overrated
Unified - Fragmented
United - Divided
Universal - Niche
Unsexy emoji - Sexy emoji
Urban - Rural
Urban - Suburban
Urban - Wilderness
Vertical - Horizontal
Visible - Camouflaged
Visible - Hidden
Visible - Invisible
Visible - Obscured
Warm - Icy
Welcoming - Excluding
Welcoming - Unfriendly
Wet - Dry
Wide - Narrow
Wild - Domestic
Work - Play
Young - Old
